Ημερομηνία,"SO (ppb)
2","SO (μg/m3)
2",Οριακή τιμή (μg/m3)
1/1/2024 0:00,1.191,3.120,350
1/1/2024 1:00,0.954,2.499,350
1/1/2024 2:00,0.653,1.711,350
1/1/2024 3:00,0.713,1.868,350
1/1/2024 4:00,0.597,1.564,350
1/1/2024 5:00,0.234,0.613,350
1/1/2024 6:00,0.267,0.700,350
1/1/2024 7:00,0.281,0.736,350
1/1/2024 8:00,0.373,0.977,350
1/1/2024 9:00,0.642,1.682,350
1/1/2024 10:00,0.868,2.274,350
1/1/2024 11:00,0.962,2.520,350
1/1/2024 12:00,0.786,2.059,350
1/1/2024 13:00,1.093,2.864,350
1/1/2024 14:00,0.894,2.342,350
1/1/2024 15:00,1.202,3.149,350
1/1/2024 16:00,0.615,1.611,350
1/1/2024 17:00,0.399,1.045,350
1/1/2024 18:00,0.380,0.996,350
1/1/2024 19:00,0.798,2.091,350
1/1/2024 20:00,1.037,2.717,350
1/1/2024 21:00,1.224,3.207,350
1/1/2024 22:00,1.148,3.008,350
1/1/2024 23:00,0.759,1.989,350
2/1/2024 0:00,0.828,2.169,350
2/1/2024 1:00,0.647,1.695,350
2/1/2024 2:00,0.413,1.082,350
2/1/2024 3:00,0.357,0.935,350
2/1/2024 4:00,0.503,1.318,350
2/1/2024 5:00,0.338,0.886,350
2/1/2024 6:00,0.511,1.339,350
2/1/2024 7:00,0.954,2.499,350
2/1/2024 8:00,1.408,3.689,350
2/1/2024 9:00,1.673,4.383,350
2/1/2024 10:00,1.716,4.496,350
Ημερομηνία,"SO (ppb)
2","SO (μg/m3)
2",Οριακή τιμή (μg/m3)
2/1/2024 11:00,1.313,3.440,350
2/1/2024 12:00,1.183,3.099,350
2/1/2024 13:00,1.622,4.250,350
2/1/2024 14:00,1.573,4.121,350
2/1/2024 15:00,1.711,4.483,350
2/1/2024 16:00,1.316,3.448,350
2/1/2024 17:00,0.898,2.353,350
2/1/2024 18:00,1.004,2.630,350
2/1/2024 19:00,1.023,2.680,350
2/1/2024 20:00,1.407,3.686,350
2/1/2024 21:00,1.504,3.940,350
2/1/2024 22:00,0.966,2.531,350
2/1/2024 23:00,0.796,2.086,350
3/1/2024 0:00,0.793,2.078,350
