Ημερομηνία,CO (ppm),CO (mg/m3),"CO (mg/m3)
Κυλιόμενος Μ.Ο
8ώρου","Οριακή τιμή
κυλιόμενου Μ.Ο
8ώρου (mg/m3)"
31/1/24 17:00,0.345,0.395,0.392,10
31/1/24 18:00,0.497,0.569,0.385,10
31/1/24 19:00,1.282,1.468,0.541,10
31/1/24 20:00,1.911,2.188,0.766,10
31/1/24 21:00,1.895,2.170,0.993,10
31/1/24 22:00,1.547,1.771,1.167,10
31/1/24 23:00,1.456,1.667,1.327,10
1/2/24 0:00,1.257,1.439,1.458,10
1/2/24 1:00,0.821,0.940,1.527,10
1/2/24 2:00,0.843,0.965,1.576,10
1/2/24 3:00,0.722,0.827,1.496,10
1/2/24 4:00,0.532,0.609,1.299,10
1/2/24 5:00,0.622,0.712,1.116,10
1/2/24 6:00,0.908,1.040,1.025,10
1/2/24 7:00,1.257,1.439,0.996,10
1/2/24 8:00,1.61,1.843,1.047,10
1/2/24 9:00,1.375,1.574,1.126,10
1/2/24 10:00,0.65,0.744,1.099,10
1/2/24 11:00,0.505,0.578,1.068,10
1/2/24 12:00,0.512,0.586,1.065,10
1/2/24 13:00,0.378,0.433,1.030,10
1/2/24 14:00,0.299,0.342,0.943,10
1/2/24 15:00,0.232,0.266,0.796,10
1/2/24 16:00,0.221,0.253,0.597,10
1/2/24 17:00,0.228,0.261,0.433,10
1/2/24 18:00,0.656,0.751,0.434,10
1/2/24 19:00,1.732,1.983,0.609,10
1/2/24 20:00,1.857,2.126,0.802,10
1/2/24 21:00,1.812,2.075,1.007,10
1/2/24 22:00,1.529,1.751,1.183,10
1/2/24 23:00,1.134,1.298,1.312,10
2/2/24 0:00,1.313,1.503,1.469,10
2/2/24 1:00,1.036,1.186,1.584,10
2/2/24 2:00,1.059,1.213,1.642,10
Ημερομηνία,CO (ppm),CO (mg/m3),"CO (mg/m3)
Κυλιόμενος Μ.Ο
8ώρου","Οριακή τιμή
κυλιόμενου Μ.Ο
8ώρου (mg/m3)"
2/2/24 3:00,0.778,0.891,1.505,10
2/2/24 4:00,0.58,0.664,1.323,10
2/2/24 5:00,0.683,0.782,1.161,10
2/2/24 6:00,0.803,0.919,1.057,10
